county,precinct,office,district,seats,party,candidate,votes
Martin,Perry 6,Attorney General,,1,DEM,Destiny WELLS,113
Martin,Perry 6,Attorney General,,1,REP,Todd ROKITA,323
Martin,Perry 6,County Auditor,,1,DEM,Michelle NORRIS,289
Martin,Perry 6,County Commissioner,1,1,REP,Retha WARNER,357
Martin,Perry 6,County Commissioner,3,1,REP,Aaron Moose SUMMERS,240
Martin,Perry 6,County Commissioner,3,1,IND,Jason B McCOY,179
Martin,Perry 6,County Coroner,,1,REP,Tony ABEL,352
Martin,Perry 6,County Recorder,,1,REP,Sheri CRANDALL,349
Martin,Perry 6,County Surveyor,,1,REP,Nathan Dale HOFFMAN,348
Martin,Perry 6,County Treasurer,,1,REP,Rhonda SANDERS,354
Martin,Perry 6,County Council,At Large,3,REP,Gerald D MONTGOMERY,199
Martin,Perry 6,County Council,At Large,3,REP,Jim WOODY,250
Martin,Perry 6,County Council,At Large,3,REP,Warren D ALBRIGHT,210
Martin,Perry 7,President,,1,,Write-In,0
Martin,Perry 7,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Martin,Perry 7,President,,1,REP,Donald J. TRUMP / JD Vance,282
Martin,Perry 7,President,,1,DEM,Kamala D. HARRIS / Tim Walz,60
Martin,Perry 7,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,4
Martin,Perry 7,U.S. Senate,,1,LBT,Andrew HORNING,13
Martin,Perry 7,U.S. Senate,,1,,Write-In,0
Martin,Perry 7,U.S. Senate,,1,REP,Jim BANKS,259
Martin,Perry 7,U.S. Senate,,1,DEM,Valerie McCRAY,64
Martin,Perry 7,U.S. House,8,1,DEM,Erik HURT,60
Martin,Perry 7,U.S. House,8,1,LBT,K Richard FITZLAFF,29
Martin,Perry 7,U.S. House,8,1,REP,Mark MESSMER,249
Martin,Perry 7,Governor,,1,,Write-In,0
Martin,Perry 7,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,86
Martin,Perry 7,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,85
Martin,Perry 7,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,172
Martin,Perry 7,Attorney General,,1,DEM,Destiny WELLS,66
Martin,Perry 7,Attorney General,,1,REP,Todd ROKITA,270
Martin,Perry 7,County Auditor,,1,DEM,Michelle NORRIS,173
Martin,Perry 7,County Commissioner,1,1,REP,Retha WARNER,270
Martin,Perry 7,County Commissioner,3,1,REP,Aaron Moose SUMMERS,179
Martin,Perry 7,County Commissioner,3,1,IND,Jason B McCOY,142
Martin,Perry 7,County Coroner,,1,REP,Tony ABEL,271
Martin,Perry 7,County Recorder,,1,REP,Sheri CRANDALL,270
Martin,Perry 7,County Surveyor,,1,REP,Nathan Dale HOFFMAN,264
Martin,Perry 7,County Treasurer,,1,REP,Rhonda SANDERS,269
Martin,Perry 7,County Council,At Large,3,REP,Gerald D MONTGOMERY,133
Martin,Perry 7,County Council,At Large,3,REP,Jim WOODY,167
Martin,Perry 7,County Council,At Large,3,REP,Warren D ALBRIGHT,154
Martin,Rutherford,President,,1,,Write-In,0
Martin,Rutherford,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,4
