candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 23,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 23,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 23,100,7,62,0,169
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 23,170,42,84,0,296
,Registered Voters,,,Floyd,NEW ALBANY 24,,,,,3180
,Ballots Cast,,,Floyd,NEW ALBANY 24,178,15,87,,280
,Straight Party,,R,Floyd,NEW ALBANY 24,47,2,23,0,72
,Straight Party,,D,Floyd,NEW ALBANY 24,55,9,31,0,95
,Straight Party,,L,Floyd,NEW ALBANY 24,3,0,0,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 24,64,98,12,0,174
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 24,2,12,1,0,15
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 24,34,52,1,0,87
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 24,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 24,71,90,14,0,175
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 24,3,11,1,0,15
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 24,36,49,1,0,86
Write In ,Secretary of State,,,Floyd,NEW ALBANY 24,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 24,73,3,36,0,112
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 24,87,12,50,0,149
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 24,13,0,0,0,13
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 24,82,2,38,0,122
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 24,92,13,48,0,153
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 24,72,2,36,0,110
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 24,101,13,51,0,165
Write In ,U S House,9,,Floyd,NEW ALBANY 24,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 24,77,5,38,0,120
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 24,99,10,49,0,158
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 24,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 24,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 24,80,5,38,0,123
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 24,96,10,46,0,152
,Registered Voters,,,Floyd,NEW ALBANY 25,,,,,2052
,Ballots Cast,,,Floyd,NEW ALBANY 25,110,25,42,,177
,Straight Party,,R,Floyd,NEW ALBANY 25,29,8,7,0,44
,Straight Party,,D,Floyd,NEW ALBANY 25,40,9,13,0,62
,Straight Party,,L,Floyd,NEW ALBANY 25,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 25,39,62,7,0,108
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 25,12,10,3,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 25,16,24,2,0,42
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 25,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 25,40,62,6,0,108
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 25,12,13,0,0,25
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 25,18,23,1,0,42
Write In ,Secretary of State,,,Floyd,NEW ALBANY 25,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 25,44,11,19,0,74
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 25,61,14,22,0,97
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 25,3,0,1,0,4
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 25,44,12,17,0,73
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 25,63,13,25,0,101
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 25,38,12,17,0,67
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 25,71,13,25,0,109
Write In ,U S House,9,,Floyd,NEW ALBANY 25,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 25,40,12,16,0,68
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 25,68,13,26,0,107
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 25,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 25,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 25,43,11,16,0,70
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 25,66,14,25,0,105
,Registered Voters,,,Floyd,NEW ALBANY 26,,,,,4216
,Ballots Cast,,,Floyd,NEW ALBANY 26,323,30,160,,513
,Straight Party,,R,Floyd,NEW ALBANY 26,89,6,37,0,132
,Straight Party,,D,Floyd,NEW ALBANY 26,83,10,38,0,131
,Straight Party,,L,Floyd,NEW ALBANY 26,7,2,1,0,10
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 26,157,145,15,0,317
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 26,16,12,2,0,30
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 26,68,85,5,0,158
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 26,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 26,161,139,16,0,316
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 26,13,17,0,0,30
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 26,69,83,6,0,158
Write In ,Secretary of State,,,Floyd,NEW ALBANY 26,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 26,165,12,67,0,244
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 26,137,18,81,0,236
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 26,11,0,9,0,20
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 26,173,13,74,0,260
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 26,138,17,82,0,237
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 26,169,15,74,0,258
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 26,153,15,86,0,254
Write In ,U S House,9,,Floyd,NEW ALBANY 26,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 26,168,13,75,0,256
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 26,147,17,83,0,247
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 26,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 26,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 26,164,16,76,0,256
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 26,152,14,81,0,247
,Registered Voters,,,Floyd,NEW ALBANY 27,,,,,3888
,Ballots Cast,,,Floyd,NEW ALBANY 27,257,38,166,,461
,Straight Party,,R,Floyd,NEW ALBANY 27,65,10,22,0,97
,Straight Party,,D,Floyd,NEW ALBANY 27,82,15,53,0,150
,Straight Party,,L,Floyd,NEW ALBANY 27,2,0,1,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 27,106,136,14,0,256
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 27,13,21,3,0,37
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 27,48,104,12,0,164
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 27,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 27,106,133,11,0,250
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 27,17,17,1,0,35
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 27,60,95,7,0,162
Write In ,Secretary of State,,,Floyd,NEW ALBANY 27,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 27,110,16,58,0,184
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 27,125,18,96,0,239
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 27,12,2,4,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 27,117,15,61,0,193
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 27,131,21,101,0,253
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 27,114,17,53,0,184
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 27,140,19,113,0,272
Write In ,U S House,9,,Floyd,NEW ALBANY 27,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 27,120,20,67,0,207
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 27,134,17,98,0,249
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 27,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 27,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 27,115,17,66,0,198
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 27,141,20,100,0,261
,Registered Voters,,,Floyd,NEW ALBANY 28,,,,,3924
,Ballots Cast,,,Floyd,NEW ALBANY 28,342,41,216,1,600
,Straight Party,,R,Floyd,NEW ALBANY 28,105,16,71,0,192
,Straight Party,,D,Floyd,NEW ALBANY 28,62,9,40,0,111
,Straight Party,,L,Floyd,NEW ALBANY 28,3,1,0,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 28,185,141,12,1,339
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 28,19,19,2,0,40
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 28,112,96,4,0,212
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 28,1,0,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 28,202,123,12,0,337
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 28,20,21,0,0,41
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 28,118,90,2,0,210
Write In ,Secretary of State,,,Floyd,NEW ALBANY 28,1,0,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 28,196,19,118,1,334
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 28,121,19,90,0,230
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 28,17,2,2,0,21
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 28,207,20,126,1,354
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 28,126,19,85,0,230
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 28,191,17,112,1,321
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 28,144,24,102,0,270
Write In ,U S House,9,,Floyd,NEW ALBANY 28,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 28,205,17,119,1,342
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 28,133,23,94,0,250
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 28,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 28,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 28,196,21,124,1,342
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 28,143,20,89,0,252
,Registered Voters,,,Floyd,NEW ALBANY 29,,,,,4324
,Ballots Cast,,,Floyd,NEW ALBANY 29,274,25,195,,494
,Straight Party,,R,Floyd,NEW ALBANY 29,59,3,53,0,115
,Straight Party,,D,Floyd,NEW ALBANY 29,85,6,44,0,135
,Straight Party,,L,Floyd,NEW ALBANY 29,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 29,111,147,13,0,271
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 29,5,20,0,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 29,93,86,9,0,188
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 29,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 29,109,138,21,0,268
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 29,8,16,0,0,24
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 29,103,77,5,1,186
Write In ,Secretary of State,,,Floyd,NEW ALBANY 29,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 29,117,7,96,0,220
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 29,132,17,81,0,230
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 29,17,0,6,0,23
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 29,125,6,100,0,231
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 29,142,17,84,0,243
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 29,121,4,98,0,223
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 29,150,20,92,0,262
Write In ,U S House,9,,Floyd,NEW ALBANY 29,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 29,125,8,105,0,238
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 29,145,14,84,0,243
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 29,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 29,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 29,122,8,104,0,234
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 29,148,16,85,0,249
,Registered Voters,,,Floyd,NEW ALBANY 30,,,,,2964
,Ballots Cast,,,Floyd,NEW ALBANY 30,218,34,226,,478
,Straight Party,,R,Floyd,NEW ALBANY 30,80,9,61,0,150
,Straight Party,,D,Floyd,NEW ALBANY 30,30,14,49,0,93
,Straight Party,,L,Floyd,NEW ALBANY 30,2,0,1,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 30,141,64,11,0,216
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 30,10,22,2,0,34
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 30,125,93,2,0,220
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 30,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 30,139,63,6,0,208
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 30,10,24,0,0,34
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 30,121,88,10,0,219
Write In ,Secretary of State,,,Floyd,NEW ALBANY 30,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 30,140,11,124,0,275
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 30,59,22,91,0,172
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 30,7,1,5,0,13
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 30,148,11,129,0,288
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 30,59,22,88,0,169
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 30,143,11,132,0,286
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 30,72,23,92,0,187
Write In ,U S House,9,,Floyd,NEW ALBANY 30,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 30,149,12,135,0,296
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 30,62,21,89,0,172
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 30,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 30,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 30,144,16,131,0,291
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 30,68,18,90,0,176
,Registered Voters,,,Floyd,NEW ALBANY 31,,,,,4380
,Ballots Cast,,,Floyd,NEW ALBANY 31,304,42,318,,664
,Straight Party,,R,Floyd,NEW ALBANY 31,111,8,97,0,216
,Straight Party,,D,Floyd,NEW ALBANY 31,40,9,42,0,91
,Straight Party,,L,Floyd,NEW ALBANY 31,3,0,0,0,3
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 31,209,84,11,0,304
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 31,13,27,2,0,42
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 31,187,111,11,0,309
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 31,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 31,209,78,9,0,296
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 31,14,26,1,0,41
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 31,209,99,6,0,314
Write In ,Secretary of State,,,Floyd,NEW ALBANY 31,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 31,210,14,200,0,424
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 31,77,23,105,0,205
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 31,9,3,5,0,17
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 31,221,15,208,0,444
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 31,74,25,101,0,200
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 31,214,14,200,0,428
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 31,88,28,117,0,233
Write In ,U S House,9,,Floyd,NEW ALBANY 31,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 31,221,18,214,0,453
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 31,77,24,100,0,201
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 31,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 31,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 31,218,22,209,0,449
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 31,85,19,105,0,209
,Registered Voters,,,Floyd,NEW ALBANY 32,,,,,3580
,Ballots Cast,,,Floyd,NEW ALBANY 32,328,25,166,,519
,Straight Party,,R,Floyd,NEW ALBANY 32,105,9,46,0,160
,Straight Party,,D,Floyd,NEW ALBANY 32,79,7,27,0,113
,Straight Party,,L,Floyd,NEW ALBANY 32,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 32,186,129,10,0,325
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 32,11,12,1,0,24
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 32,83,76,2,0,161
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 32,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 32,192,120,6,1,319
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 32,11,12,1,0,24
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 32,92,64,4,1,161
Write In ,Secretary of State,,,Floyd,NEW ALBANY 32,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 32,210,14,200,0,424
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 32,77,23,105,0,205
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 32,9,3,5,0,17
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 32,221,15,208,0,444
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 32,74,25,101,0,200
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 32,191,11,94,0,296
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 32,133,14,70,0,217
Write In ,U S House,9,,Floyd,NEW ALBANY 32,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 32,202,10,95,0,307
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 32,119,14,67,0,200
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 32,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 32,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 32,201,13,99,0,313
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 32,118,12,65,0,195
,Registered Voters,,,Floyd,NEW ALBANY 33,,,,,3336
,Ballots Cast,,,Floyd,NEW ALBANY 33,285,25,139,,449
,Straight Party,,R,Floyd,NEW ALBANY 33,105,5,45,0,155
,Straight Party,,D,Floyd,NEW ALBANY 33,55,8,28,0,91
,Straight Party,,L,Floyd,NEW ALBANY 33,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 33,175,104,4,0,283
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 33,10,15,0,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 33,79,59,0,0,138
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 33,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 33,182,91,8,2,283
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 33,9,15,0,0,24
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 33,78,58,1,0,137
Write In ,Secretary of State,,,Floyd,NEW ALBANY 33,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 33,175,10,79,0,264
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 33,98,15,56,0,169
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 33,6,0,1,0,7
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 33,185,10,77,0,272
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 33,92,15,58,0,165
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 33,165,9,76,0,250
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 33,118,16,63,0,197
Write In ,U S House,9,,Floyd,NEW ALBANY 33,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 33,180,10,86,0,276
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 33,102,15,53,0,170
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 33,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 33,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 33,186,10,81,0,277
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 33,99,15,57,0,171
,Registered Voters,,,Floyd,NEW ALBANY 34,,,,,3932
,Ballots Cast,,,Floyd,NEW ALBANY 34,311,26,278,,615
,Straight Party,,R,Floyd,NEW ALBANY 34,98,12,74,0,184
,Straight Party,,D,Floyd,NEW ALBANY 34,61,6,50,0,117
,Straight Party,,L,Floyd,NEW ALBANY 34,0,0,0,0,0
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 34,176,126,6,0,308
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 34,17,9,0,0,26
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 34,149,120,5,0,274
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 34,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 34,187,108,6,0,301
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 34,15,9,1,0,25
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 34,153,116,4,0,273
Write In ,Secretary of State,,,Floyd,NEW ALBANY 34,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 34,178,15,149,0,342
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 34,110,9,118,0,237
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 34,7,1,3,0,11
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 34,194,16,157,0,367
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 34,105,9,113,0,227
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 34,187,16,154,0,357
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 34,120,10,123,0,253
Write In ,U S House,9,,Floyd,NEW ALBANY 34,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 34,192,17,162,0,371
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 34,114,8,115,0,237
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 34,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 34,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 34,192,18,158,0,368
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 34,115,8,120,0,243
,Registered Voters,,,Floyd,NEW ALBANY 35,,,,,5320
,Ballots Cast,,,Floyd,NEW ALBANY 35,352,37,290,,679
,Straight Party,,R,Floyd,NEW ALBANY 35,116,10,83,0,209
,Straight Party,,D,Floyd,NEW ALBANY 35,70,14,73,0,157
,Straight Party,,L,Floyd,NEW ALBANY 35,1,0,0,0,1
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 35,200,135,12,1,348
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 35,16,17,4,0,37
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 35,137,143,7,0,287
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 35,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 35,200,127,16,0,343
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 35,17,17,3,0,37
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 35,145,136,6,1,288
Write In ,Secretary of State,,,Floyd,NEW ALBANY 35,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 35,198,14,145,0,357
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 35,130,21,134,0,285
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 35,13,2,6,0,21
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 35,207,18,149,0,374
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 35,134,19,134,0,287
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 35,202,16,142,0,360
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 35,145,21,145,0,311
Write In ,U S House,9,,Floyd,NEW ALBANY 35,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 35,209,15,155,0,379
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 35,137,22,132,0,291
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 35,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 35,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 35,200,16,148,0,364
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 35,145,21,139,0,305
,Registered Voters,,,Floyd,NEW ALBANY 36,,,,,3956
,Ballots Cast,,,Floyd,NEW ALBANY 36,247,42,168,,457
,Straight Party,,R,Floyd,NEW ALBANY 36,67,12,48,0,127
