county,precinct,election_day,absentee,provisional,votes,office,district,candidate,party
Wabash,021 - Lagro 2,82,33,0,115,Court of Appeals Dist 2-Altice,,NO,
Wabash,022 - Lagro 3,74,61,0,135,Public Question,,YES,
Wabash,022 - Lagro 3,25,16,0,41,Public Question,,NO,
Wabash,022 - Lagro 3,104,74,0,178,U.S. Senate,,MIKE BRAUN,R
Wabash,022 - Lagro 3,27,22,0,49,U.S. Senate,,JOE DONNELLY,D
Wabash,022 - Lagro 3,1,4,0,5,U.S. Senate,,LUCY M. BRENTON,L
Wabash,022 - Lagro 3,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,022 - Lagro 3,108,82,0,190,Secretary of State,,CONNIE LAWSON,R
Wabash,022 - Lagro 3,17,13,0,30,Secretary of State,,JIM HARPER,D
Wabash,022 - Lagro 3,4,1,0,5,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,022 - Lagro 3,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,022 - Lagro 3,106,81,0,187,Auditor of State,,TERA KLUTZ,R
Wabash,022 - Lagro 3,19,14,0,33,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,022 - Lagro 3,1,0,0,1,Auditor of State,,JOHN SCHICK,L
Wabash,022 - Lagro 3,110,81,0,191,Treasurer of State,,KELLY MITCHELL,R
Wabash,022 - Lagro 3,19,14,0,33,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,022 - Lagro 3,106,82,0,188,U.S. House,2,JACKIE WALORSKI,R
Wabash,022 - Lagro 3,23,17,0,40,U.S. House,2,MEL HALL,D
Wabash,022 - Lagro 3,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,022 - Lagro 3,110,78,0,188,State Senate,17,ANDY ZAY,R
Wabash,022 - Lagro 3,17,15,0,32,State Senate,17,GARY L. SNYDER,D
Wabash,022 - Lagro 3,109,76,0,185,State Representative,18,DAVID A. WOLKINS,R
Wabash,022 - Lagro 3,18,16,0,34,State Representative,18,DEE M MOORE,D
Wabash,022 - Lagro 3,114,81,0,195,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,022 - Lagro 3,120,86,0,206,Circuit Court Clerk,,LORI DRAPER,R
Wabash,022 - Lagro 3,115,82,0,197,County Recorder,,ERIC RISH,R
Wabash,022 - Lagro 3,121,88,0,209,County Sheriff,,RYAN T. BAKER,R
Wabash,022 - Lagro 3,123,90,0,213,County Assessor,,KELLY SCHENKEL,R
Wabash,022 - Lagro 3,120,87,0,207,County Commissioner District 2,,JEFF DAWES,R
Wabash,022 - Lagro 3,114,82,0,196,County Council District 4,,KYLE M. BOWMAN,R
Wabash,022 - Lagro 3,107,75,0,182,Lagro Township Trustee,,ERIC &quot;ET&quot; TERRELL,R
Wabash,022 - Lagro 3,14,14,0,28,Lagro Township Trustee,,NANCY WHITMER,D
Wabash,022 - Lagro 3,11,12,0,23,Lagro Township Trustee,,(I) BEVERLY BURNS,I
Wabash,022 - Lagro 3,74,54,0,128,Lagro Township Board Member,,ROB COLE,R
Wabash,022 - Lagro 3,63,62,0,125,Lagro Township Board Member,,GARY W. HUNTER,R
Wabash,022 - Lagro 3,91,73,0,164,Lagro Township Board Member,,DEB SCHENKEL,R
Wabash,022 - Lagro 3,18,15,0,33,Lagro Township Board Member,,LLOYD M. BENTLEY,D
Wabash,022 - Lagro 3,6,6,0,12,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,022 - Lagro 3,73,63,0,136,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,022 - Lagro 3,46,24,0,70,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,022 - Lagro 3,2,4,0,6,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,022 - Lagro 3,52,51,0,103,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,022 - Lagro 3,26,12,0,38,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,022 - Lagro 3,45,26,0,71,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,022 - Lagro 3,90,57,0,147,IN Supreme Court-Slaughter,,YES,
Wabash,022 - Lagro 3,31,14,0,45,IN Supreme Court-Slaughter,,NO,
Wabash,022 - Lagro 3,89,56,0,145,Court of Appeals Dist 2-Altice,,YES,
Wabash,022 - Lagro 3,32,15,0,47,Court of Appeals Dist 2-Altice,,NO,
Wabash,023 - Liberty 1,144,113,0,257,Public Question,,YES,
Wabash,023 - Liberty 1,56,49,0,105,Public Question,,NO,
Wabash,023 - Liberty 1,177,158,0,335,U.S. Senate,,MIKE BRAUN,R
Wabash,023 - Liberty 1,60,42,0,102,U.S. Senate,,JOE DONNELLY,D
Wabash,023 - Liberty 1,10,11,0,21,U.S. Senate,,LUCY M. BRENTON,L
Wabash,023 - Liberty 1,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,023 - Liberty 1,197,165,0,362,Secretary of State,,CONNIE LAWSON,R
Wabash,023 - Liberty 1,42,36,0,78,Secretary of State,,JIM HARPER,D
Wabash,023 - Liberty 1,6,9,0,15,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,023 - Liberty 1,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,023 - Liberty 1,185,163,0,348,Auditor of State,,TERA KLUTZ,R
Wabash,023 - Liberty 1,50,41,0,91,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,023 - Liberty 1,10,6,0,16,Auditor of State,,JOHN SCHICK,L
Wabash,023 - Liberty 1,201,169,0,370,Treasurer of State,,KELLY MITCHELL,R
Wabash,023 - Liberty 1,43,37,0,80,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,023 - Liberty 1,187,158,0,345,U.S. House,2,JACKIE WALORSKI,R
Wabash,023 - Liberty 1,60,52,0,112,U.S. House,2,MEL HALL,D
Wabash,023 - Liberty 1,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,023 - Liberty 1,182,165,0,347,State Senate,17,ANDY ZAY,R
Wabash,023 - Liberty 1,60,45,0,105,State Senate,17,GARY L. SNYDER,D
Wabash,023 - Liberty 1,187,162,0,349,State Representative,18,DAVID A. WOLKINS,R
Wabash,023 - Liberty 1,53,47,0,100,State Representative,18,DEE M MOORE,D
Wabash,023 - Liberty 1,216,178,0,394,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,023 - Liberty 1,221,175,0,396,Circuit Court Clerk,,LORI DRAPER,R
Wabash,023 - Liberty 1,214,173,0,387,County Recorder,,ERIC RISH,R
Wabash,023 - Liberty 1,223,183,0,406,County Sheriff,,RYAN T. BAKER,R
Wabash,023 - Liberty 1,218,181,0,399,County Assessor,,KELLY SCHENKEL,R
Wabash,023 - Liberty 1,217,182,0,399,County Commissioner District 2,,JEFF DAWES,R
Wabash,023 - Liberty 1,217,180,0,397,County Council District 4,,KYLE M. BOWMAN,R
Wabash,023 - Liberty 1,216,177,0,393,Liberty Township Trustee,,PATTY LENGEL-GODFROY,R
Wabash,023 - Liberty 1,156,125,0,281,Liberty Township Board Member,,GREG BALDWIN,R
Wabash,023 - Liberty 1,168,129,0,297,Liberty Township Board Member,,DIANA K. HEATH,R
Wabash,023 - Liberty 1,131,109,0,240,Liberty Township Board Member,,RONALD HUSTON,R
Wabash,023 - Liberty 1,56,44,0,100,Liberty Township Board Member,,DONALD J. ROSE,D
Wabash,023 - Liberty 1,28,18,0,46,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,023 - Liberty 1,110,99,0,209,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,023 - Liberty 1,72,71,0,143,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,023 - Liberty 1,19,13,0,32,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,023 - Liberty 1,100,92,0,192,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,023 - Liberty 1,68,69,0,137,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,023 - Liberty 1,29,22,0,51,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,023 - Liberty 1,162,123,0,285,IN Supreme Court-Slaughter,,YES,
Wabash,023 - Liberty 1,39,55,0,94,IN Supreme Court-Slaughter,,NO,
Wabash,023 - Liberty 1,159,126,0,285,Court of Appeals Dist 2-Altice,,YES,
Wabash,023 - Liberty 1,41,53,0,94,Court of Appeals Dist 2-Altice,,NO,
Wabash,024 - Liberty 2,118,139,0,257,Public Question,,YES,
Wabash,024 - Liberty 2,40,48,0,88,Public Question,,NO,
Wabash,024 - Liberty 2,159,167,0,326,U.S. Senate,,MIKE BRAUN,R
Wabash,024 - Liberty 2,38,52,0,90,U.S. Senate,,JOE DONNELLY,D
Wabash,024 - Liberty 2,10,9,0,19,U.S. Senate,,LUCY M. BRENTON,L
Wabash,024 - Liberty 2,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,024 - Liberty 2,167,180,0,347,Secretary of State,,CONNIE LAWSON,R
Wabash,024 - Liberty 2,33,37,0,70,Secretary of State,,JIM HARPER,D
Wabash,024 - Liberty 2,6,7,0,13,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,024 - Liberty 2,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,024 - Liberty 2,169,174,0,343,Auditor of State,,TERA KLUTZ,R
Wabash,024 - Liberty 2,35,40,0,75,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,024 - Liberty 2,3,6,0,9,Auditor of State,,JOHN SCHICK,L
Wabash,024 - Liberty 2,174,179,0,353,Treasurer of State,,KELLY MITCHELL,R
Wabash,024 - Liberty 2,32,38,0,70,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,024 - Liberty 2,166,183,0,349,U.S. House,2,JACKIE WALORSKI,R
Wabash,024 - Liberty 2,38,44,0,82,U.S. House,2,MEL HALL,D
Wabash,024 - Liberty 2,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,024 - Liberty 2,169,177,0,346,State Senate,17,ANDY ZAY,R
Wabash,024 - Liberty 2,34,45,0,79,State Senate,17,GARY L. SNYDER,D
Wabash,024 - Liberty 2,169,175,0,344,State Representative,18,DAVID A. WOLKINS,R
Wabash,024 - Liberty 2,35,44,0,79,State Representative,18,DEE M MOORE,D
Wabash,024 - Liberty 2,180,189,0,369,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,024 - Liberty 2,183,202,0,385,Circuit Court Clerk,,LORI DRAPER,R
Wabash,024 - Liberty 2,178,190,0,368,County Recorder,,ERIC RISH,R
Wabash,024 - Liberty 2,186,195,0,381,County Sheriff,,RYAN T. BAKER,R
Wabash,024 - Liberty 2,183,195,0,378,County Assessor,,KELLY SCHENKEL,R
Wabash,024 - Liberty 2,182,195,0,377,County Commissioner District 2,,JEFF DAWES,R
Wabash,024 - Liberty 2,180,194,0,374,County Council District 4,,KYLE M. BOWMAN,R
Wabash,024 - Liberty 2,177,202,0,379,Liberty Township Trustee,,PATTY LENGEL-GODFROY,R
Wabash,024 - Liberty 2,127,143,0,270,Liberty Township Board Member,,GREG BALDWIN,R
Wabash,024 - Liberty 2,127,147,0,274,Liberty Township Board Member,,DIANA K. HEATH,R
Wabash,024 - Liberty 2,97,127,0,224,Liberty Township Board Member,,RONALD HUSTON,R
Wabash,024 - Liberty 2,35,38,0,73,Liberty Township Board Member,,DONALD J. ROSE,D
Wabash,024 - Liberty 2,28,20,0,48,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,024 - Liberty 2,105,131,0,236,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,024 - Liberty 2,57,51,0,108,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,024 - Liberty 2,16,11,0,27,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,024 - Liberty 2,91,125,0,216,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,024 - Liberty 2,42,43,0,85,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,024 - Liberty 2,37,22,0,59,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,024 - Liberty 2,143,136,0,279,IN Supreme Court-Slaughter,,YES,
Wabash,024 - Liberty 2,24,31,0,55,IN Supreme Court-Slaughter,,NO,
Wabash,024 - Liberty 2,141,138,0,279,Court of Appeals Dist 2-Altice,,YES,
Wabash,024 - Liberty 2,25,29,0,54,Court of Appeals Dist 2-Altice,,NO,
Wabash,025 - Paw Paw,263,98,0,361,Public Question,,YES,
Wabash,025 - Paw Paw,107,36,0,143,Public Question,,NO,
Wabash,025 - Paw Paw,357,117,0,474,U.S. Senate,,MIKE BRAUN,R
Wabash,025 - Paw Paw,90,41,0,131,U.S. Senate,,JOE DONNELLY,D
Wabash,025 - Paw Paw,13,6,0,19,U.S. Senate,,LUCY M. BRENTON,L
Wabash,025 - Paw Paw,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,025 - Paw Paw,381,132,0,513,Secretary of State,,CONNIE LAWSON,R
Wabash,025 - Paw Paw,66,28,0,94,Secretary of State,,JIM HARPER,D
Wabash,025 - Paw Paw,7,3,0,10,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,025 - Paw Paw,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,025 - Paw Paw,363,129,0,492,Auditor of State,,TERA KLUTZ,R
Wabash,025 - Paw Paw,78,28,0,106,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,025 - Paw Paw,6,2,0,8,Auditor of State,,JOHN SCHICK,L
Wabash,025 - Paw Paw,379,131,0,510,Treasurer of State,,KELLY MITCHELL,R
Wabash,025 - Paw Paw,71,29,0,100,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,025 - Paw Paw,364,120,0,484,U.S. House,2,JACKIE WALORSKI,R
Wabash,025 - Paw Paw,95,40,0,135,U.S. House,2,MEL HALL,D
Wabash,025 - Paw Paw,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,025 - Paw Paw,376,129,0,505,State Senate,17,ANDY ZAY,R
Wabash,025 - Paw Paw,76,31,0,107,State Senate,17,GARY L. SNYDER,D
Wabash,025 - Paw Paw,380,128,0,508,State Representative,18,DAVID A. WOLKINS,R
Wabash,025 - Paw Paw,74,32,0,106,State Representative,18,DEE M MOORE,D
Wabash,025 - Paw Paw,411,138,0,549,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,025 - Paw Paw,420,143,0,563,Circuit Court Clerk,,LORI DRAPER,R
Wabash,025 - Paw Paw,402,133,0,535,County Recorder,,ERIC RISH,R
Wabash,025 - Paw Paw,416,143,0,559,County Sheriff,,RYAN T. BAKER,R
Wabash,025 - Paw Paw,421,146,0,567,County Assessor,,KELLY SCHENKEL,R
Wabash,025 - Paw Paw,413,142,0,555,County Commissioner District 2,,JEFF DAWES,R
Wabash,025 - Paw Paw,375,123,0,498,County Council District 2,,BARBARA PEARSON,R
Wabash,025 - Paw Paw,79,35,0,114,County Council District 2,,JANE LONG,D
Wabash,025 - Paw Paw,409,137,0,546,Paw Paw Township Trustee,,ASHLEY CORDES,R
Wabash,025 - Paw Paw,259,97,0,356,Paw Paw Township Board Member,,BRIAN D. BAKER,R
Wabash,025 - Paw Paw,273,106,0,379,Paw Paw Township Board Member,,SCOTT DAWES,R
Wabash,025 - Paw Paw,270,101,0,371,Paw Paw Township Board Member,,MIKE SCHULER,R
Wabash,025 - Paw Paw,34,6,0,40,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,025 - Paw Paw,220,78,0,298,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,025 - Paw Paw,162,62,0,224,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,025 - Paw Paw,18,3,0,21,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,025 - Paw Paw,212,72,0,284,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,025 - Paw Paw,92,39,0,131,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,025 - Paw Paw,106,38,0,144,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,025 - Paw Paw,290,103,0,393,IN Supreme Court-Slaughter,,YES,
Wabash,025 - Paw Paw,78,30,0,108,IN Supreme Court-Slaughter,,NO,
Wabash,025 - Paw Paw,293,99,0,392,Court of Appeals Dist 2-Altice,,YES,
Wabash,025 - Paw Paw,71,32,0,103,Court of Appeals Dist 2-Altice,,NO,
Wabash,026 - Waltz,206,132,0,338,Public Question,,YES,
Wabash,026 - Waltz,74,43,0,117,Public Question,,NO,
Wabash,026 - Waltz,253,171,0,424,U.S. Senate,,MIKE BRAUN,R
Wabash,026 - Waltz,78,46,0,124,U.S. Senate,,JOE DONNELLY,D
Wabash,026 - Waltz,9,4,0,13,U.S. Senate,,LUCY M. BRENTON,L
Wabash,026 - Waltz,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,026 - Waltz,264,178,0,442,Secretary of State,,CONNIE LAWSON,R
Wabash,026 - Waltz,64,40,0,104,Secretary of State,,JIM HARPER,D
Wabash,026 - Waltz,5,4,0,9,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,026 - Waltz,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,026 - Waltz,257,173,0,430,Auditor of State,,TERA KLUTZ,R
Wabash,026 - Waltz,69,44,0,113,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,026 - Waltz,7,3,0,10,Auditor of State,,JOHN SCHICK,L
Wabash,026 - Waltz,272,179,0,451,Treasurer of State,,KELLY MITCHELL,R
Wabash,026 - Waltz,60,41,0,101,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,026 - Waltz,260,176,0,436,U.S. House,2,JACKIE WALORSKI,R
Wabash,026 - Waltz,76,46,0,122,U.S. House,2,MEL HALL,D
Wabash,026 - Waltz,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,026 - Waltz,265,176,0,441,State Senate,17,ANDY ZAY,R
Wabash,026 - Waltz,69,42,0,111,State Senate,17,GARY L. SNYDER,D
Wabash,026 - Waltz,264,178,0,442,State Representative,18,DAVID A. WOLKINS,R
Wabash,026 - Waltz,67,40,0,107,State Representative,18,DEE M MOORE,D
Wabash,026 - Waltz,290,181,0,471,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,026 - Waltz,300,188,0,488,Circuit Court Clerk,,LORI DRAPER,R
Wabash,026 - Waltz,291,181,0,472,County Recorder,,ERIC RISH,R
Wabash,026 - Waltz,306,193,0,499,County Sheriff,,RYAN T. BAKER,R
Wabash,026 - Waltz,301,183,0,484,County Assessor,,KELLY SCHENKEL,R
Wabash,026 - Waltz,292,182,0,474,County Commissioner District 2,,JEFF DAWES,R
Wabash,026 - Waltz,287,184,0,471,County Council District 4,,KYLE M. BOWMAN,R
Wabash,026 - Waltz,294,181,0,475,Waltz Township Trustee,,MICHAEL A. RUSE,R
Wabash,026 - Waltz,191,126,0,317,Waltz Township Board Member,,JEREMY BOARDMAN,R
Wabash,026 - Waltz,173,102,0,275,Waltz Township Board Member,,APRIL DEVORE,R
Wabash,026 - Waltz,187,115,0,302,Waltz Township Board Member,,DEREK FINCH,R
Wabash,026 - Waltz,34,20,0,54,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,026 - Waltz,151,107,0,258,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,026 - Waltz,109,60,0,169,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,026 - Waltz,10,6,0,16,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,026 - Waltz,140,92,0,232,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,026 - Waltz,89,50,0,139,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,026 - Waltz,58,40,0,98,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,026 - Waltz,208,136,0,344,IN Supreme Court-Slaughter,,YES,
Wabash,026 - Waltz,55,33,0,88,IN Supreme Court-Slaughter,,NO,
Wabash,026 - Waltz,211,134,0,345,Court of Appeals Dist 2-Altice,,YES,
Wabash,026 - Waltz,55,35,0,90,Court of Appeals Dist 2-Altice,,NO,
Wabash,001 - Noble 1,,,,531,Registered Voters,,,
Wabash,001 - Noble 1,175,73,0,248,Ballots Cast,,,
Wabash,002 - Noble 2,,,,591,Registered Voters,,,
Wabash,002 - Noble 2,163,63,0,226,Ballots Cast,,,
Wabash,003 - Noble 3,,,,901,Registered Voters,,,
Wabash,003 - Noble 3,211,130,0,341,Ballots Cast,,,
Wabash,004 - Noble 4,,,,706,Registered Voters,,,
Wabash,004 - Noble 4,201,114,0,315,Ballots Cast,,,
Wabash,005 - Noble 5,,,,851,Registered Voters,,,
Wabash,005 - Noble 5,288,155,0,443,Ballots Cast,,,
Wabash,006 - Noble 6,,,,1175,Registered Voters,,,
Wabash,006 - Noble 6,349,267,0,616,Ballots Cast,,,
Wabash,007 - Noble 7,,,,916,Registered Voters,,,
Wabash,007 - Noble 7,304,157,0,461,Ballots Cast,,,
Wabash,008 - Noble 8,,,,891,Registered Voters,,,
Wabash,008 - Noble 8,263,255,0,518,Ballots Cast,,,
Wabash,009 - Noble 9,,,,693,Registered Voters,,,
Wabash,009 - Noble 9,241,194,0,435,Ballots Cast,,,
Wabash,010 - Noble 10,,,,967,Registered Voters,,,
Wabash,010 - Noble 10,277,294,0,571,Ballots Cast,,,
Wabash,011 - Noble 11,,,,831,Registered Voters,,,
Wabash,011 - Noble 11,209,254,0,463,Ballots Cast,,,
Wabash,012 - Chester 1,,,,632,Registered Voters,,,
Wabash,012 - Chester 1,253,171,0,424,Ballots Cast,,,
Wabash,013 - Chester 2,,,,522,Registered Voters,,,
Wabash,013 - Chester 2,205,128,0,333,Ballots Cast,,,
Wabash,014 - Chester 3,,,,901,Registered Voters,,,
Wabash,014 - Chester 3,329,193,0,522,Ballots Cast,,,
Wabash,015 - Chester 4,,,,747,Registered Voters,,,
Wabash,015 - Chester 4,282,149,0,431,Ballots Cast,,,
Wabash,016 - Chester 5,,,,791,Registered Voters,,,
Wabash,016 - Chester 5,190,316,0,506,Ballots Cast,,,
Wabash,017 - Chester 6,,,,806,Registered Voters,,,
Wabash,017 - Chester 6,238,264,0,502,Ballots Cast,,,
Wabash,018 - Pleasant 1,,,,605,Registered Voters,,,
Wabash,018 - Pleasant 1,237,86,0,323,Ballots Cast,,,
Wabash,019 - Pleasant 2,,,,889,Registered Voters,,,
Wabash,019 - Pleasant 2,371,160,0,531,Ballots Cast,,,
Wabash,020 - Lagro 1,,,,663,Registered Voters,,,
Wabash,020 - Lagro 1,216,172,0,388,Ballots Cast,,,
Wabash,021 - Lagro 2,,,,994,Registered Voters,,,
Wabash,021 - Lagro 2,380,185,0,565,Ballots Cast,,,
Wabash,022 - Lagro 3,,,,423,Registered Voters,,,
Wabash,022 - Lagro 3,136,102,0,238,Ballots Cast,,,
Wabash,023 - Liberty 1,,,,809,Registered Voters,,,
Wabash,023 - Liberty 1,251,214,0,465,Ballots Cast,,,
Wabash,024 - Liberty 2,,,,763,Registered Voters,,,
Wabash,024 - Liberty 2,210,233,0,443,Ballots Cast,,,
Wabash,025 - Paw Paw,,,,1080,Registered Voters,,,
Wabash,025 - Paw Paw,468,167,0,635,Ballots Cast,,,
Wabash,026 - Waltz,,,,926,Registered Voters,,,
Wabash,026 - Waltz,345,225,0,570,Ballots Cast,,,
